account,traditional_category
a23091,both_directions
a21462,isolated
a06712,isolated
a13078,isolated
a05891,both_directions
a14395,isolated
a20794,isolated
a14931,isolated
a30752,both_directions
a21316,backward_only
a20263,isolated
a26523,backward_only
a15729,isolated
a22132,forward_only
a21074,isolated
a19198,backward_only
a30836,both_directions
a21332,both_directions
a03051,isolated
a22233,backward_only
a31309,both_directions
a25440,backward_only
a29450,backward_only
a27362,backward_only
a18524,backward_only
a04738,forward_only
a04847,both_directions
a18574,isolated
a25457,isolated
a27966,backward_only
a22692,backward_only
a23739,isolated
a19183,isolated
a01457,isolated
a02683,both_directions
a08087,isolated
a27538,forward_only
a10770,isolated
a27770,isolated
a19593,forward_only
a12977,isolated
a06396,isolated
a22794,isolated
a29550,both_directions
a21706,both_directions
a15361,isolated
a13128,backward_only
a05052,backward_only
a11297,isolated
a18175,isolated
a22444,both_directions
a21426,isolated
a14337,backward_only
a15233,both_directions
a30590,isolated
a13808,isolated
a29375,isolated
a01685,both_directions
a01793,isolated
a04996,both_directions
a01275,isolated
a24204,isolated
a00913,both_directions
a08461,backward_only
a02323,both_directions
a15328,both_directions
a11118,isolated
a28792,isolated
a17294,backward_only
a04049,isolated
a26253,isolated
a27687,backward_only
a23579,isolated
a07594,backward_only
a21526,backward_only
a13595,isolated
a05573,isolated
a11449,isolated
a28581,backward_only
a18626,forward_only
a17779,isolated
a17084,backward_only
a03983,isolated
a30904,forward_only
a26779,isolated
a30261,forward_only
a27851,backward_only
a13423,backward_only
a24477,backward_only
a27455,backward_only
a09297,isolated
a26926,backward_only
a05423,both_directions
a07827,forward_only
a01612,forward_only
a25364,backward_only
a19234,isolated
a23223,backward_only
a30332,isolated
a17490,backward_only
a19087,isolated
a05666,isolated
a00678,backward_only
a03290,isolated
a22403,forward_only
a31178,backward_only
a15053,isolated
a05193,both_directions
a16257,forward_only
a10339,backward_only
a24970,isolated
a11711,isolated
a22036,isolated
a14221,backward_only
a12375,isolated
a16820,isolated
a00868,isolated
a15003,isolated
a07226,isolated
a07236,both_directions
a23262,forward_only
a30605,both_directions
a03794,isolated
a00603,forward_only
a02789,isolated
a21833,both_directions
a02132,forward_only
a14754,backward_only
a30709,isolated
a30905,isolated
a27403,both_directions
a15441,isolated
a01747,isolated
a23071,isolated
a23268,backward_only
a18083,both_directions
a02606,both_directions
a04769,backward_only
a29858,forward_only
a18484,backward_only
a30291,isolated
a09384,forward_only
a00610,isolated
a23943,both_directions
a25725,isolated
a07937,backward_only
a22333,both_directions
a10040,backward_only
a25446,backward_only
a09852,both_directions
a24747,isolated
a15309,isolated
a17043,isolated
a03117,backward_only
a05294,isolated
a10638,isolated
a09675,backward_only
a17928,backward_only
a16306,backward_only
a07603,isolated
a02010,isolated
a07844,backward_only
a31134,isolated
a07276,isolated
a16523,isolated
a13732,both_directions
a22402,both_directions
a24340,isolated
a14694,isolated
a00191,isolated
a28224,forward_only
a13204,both_directions
a03415,backward_only
a03040,both_directions
a25770,backward_only
a30669,backward_only
a28843,isolated
a03227,isolated
a15494,isolated
a14925,backward_only
a28116,isolated
a00671,both_directions
a23442,isolated
a26386,backward_only
a11779,isolated
a00300,forward_only
a23852,backward_only
a29401,both_directions
a15207,backward_only
a14079,both_directions
a12411,isolated
a18507,isolated
a24186,both_directions
a22000,both_directions
a06602,isolated
a27787,isolated
a15848,isolated
a04334,isolated
a14069,isolated
a25593,isolated
a31383,isolated
a26537,backward_only
a20394,both_directions
a18811,forward_only
a17976,backward_only
a15139,both_directions
a24728,backward_only
a29183,backward_only
a01773,isolated
a09566,isolated
a13762,isolated
a09935,backward_only
a17471,isolated
a24978,backward_only
a11598,isolated
a14118,isolated
a00769,backward_only
a28320,isolated
a29216,backward_only
a09983,isolated
a25444,both_directions
a15706,isolated
a13205,forward_only
a23108,forward_only
a15073,isolated
a30860,both_directions
a30736,backward_only
a00531,backward_only
a08905,forward_only
a17538,forward_only
a13502,isolated
a22832,both_directions
a03455,both_directions
a23306,isolated
a08002,backward_only
a31494,isolated
a00865,isolated
a05218,isolated
a16547,isolated
a02025,isolated
a30770,forward_only
a14104,both_directions
a05339,backward_only
a20554,both_directions
a05225,isolated
a30776,isolated
a01216,backward_only
a05011,both_directions
a09167,both_directions
a05966,backward_only
a11866,isolated
a20662,backward_only
a21025,forward_only
a13553,both_directions
a13783,isolated
a05005,forward_only
a26944,both_directions
a28722,forward_only
a07261,both_directions
a14409,isolated
a23493,isolated
a28635,isolated
a22582,isolated
a22348,isolated
a20161,isolated
a14715,both_directions
a02367,isolated
a09386,isolated
a03789,backward_only
a22240,backward_only
a00367,both_directions
a17560,both_directions
a24467,isolated
a16367,isolated
a26797,isolated
a25322,forward_only
a27437,isolated
a28120,forward_only
a28706,isolated
a04861,isolated
a16781,both_directions
a14520,isolated
a29558,both_directions
a14314,backward_only
a27497,isolated
a12988,isolated
a01218,isolated
a21817,isolated
a19301,isolated
a05867,isolated
a22741,backward_only
a25319,both_directions
a15135,isolated
a05969,forward_only
a24713,isolated
a01935,isolated
a05306,isolated
a08229,both_directions
a05433,isolated
a17092,both_directions
a23746,isolated
a24992,forward_only
a30329,isolated
a16964,isolated
a28923,forward_only
a01501,isolated
a10480,both_directions
a19522,backward_only
a06269,isolated
a12945,both_directions
a01267,forward_only
a12673,both_directions
a11873,backward_only
a31054,isolated
a29135,isolated
a13430,both_directions
a00215,isolated
a25659,isolated
a30304,forward_only
a14548,isolated
a30783,isolated
a08157,isolated
a17255,backward_only
a11994,backward_only
a13283,backward_only
a12025,backward_only
a14799,isolated
a28047,isolated
a04379,backward_only
a13438,backward_only
a22024,isolated
a23508,forward_only
a09708,backward_only
a28054,isolated
a30889,backward_only
a15808,isolated
a14756,isolated
a21652,isolated
a24861,both_directions
a26383,backward_only
a01290,isolated
a08759,forward_only
a14699,isolated
a16316,backward_only
a15814,isolated
a30500,forward_only
a30602,backward_only
a23681,backward_only
a13477,isolated
a18596,backward_only
a27575,isolated
a15934,backward_only
a00969,isolated
a11835,isolated
a10363,both_directions
a10123,isolated
a22458,isolated
a03622,isolated
a21300,forward_only
a14387,both_directions
a09087,isolated
a22977,backward_only
a27264,backward_only
a30249,isolated
a05930,isolated
a30161,isolated
a31074,isolated
a30959,isolated
a17239,both_directions
a01767,isolated
a15751,isolated
a04797,backward_only
a17542,isolated
a00810,backward_only
a17695,isolated
a26328,isolated
a07327,backward_only
a30668,backward_only
a02488,isolated
a22637,forward_only
a05002,backward_only
a12241,forward_only
a11070,isolated
a27606,isolated
a04707,both_directions
