account,out_degree,in_degree,degree_ratio,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,avg_forward_path_length,max_forward_path_length,forward_path_count,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize,avg_backward_path_length,max_backward_path_length,backward_path_count
a05754,2,5,0.3333333333333333,0.0,0.0,0,24880680000000.0,24880680000000.0,2,2.0,2,2,0.0,0.0,0,4999370000000.0,4999370000000.0,1,2.0,2,1
a04868,9,1,4.5,0.0,0.0,0,47019438500000.0,47019438500000.0,3,2.0,2,3,0.0,0.0,0,111820322144465.42,111820322144465.42,1,2.0,2,1
a08157,11,2,3.6666666666666665,0.0,0.0,0,-42360000741.0,-42360000741.0,3,2.0,2,3,0.0,0.0,0,160353624717.004,160353624717.004,2,2.0,2,2
a13227,3,2,1.0,0.0,0.0,0,19764513100000.0,19764513100000.0,3,2.0,2,3,0.0,0.0,0,19762104700000.0,19762104700000.0,2,2.0,2,2
a17413,0,1,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,-9240000000.0,-9240000000.0,1,2.0,2,1
a05787,6,1,3.0,0.0,0.0,0,109640000000.0,109640000000.0,3,2.0,2,3,0.0,0.0,0,991810000000.0,991810000000.0,1,2.0,2,1
a20617,4,6,0.5714285714285714,0.0,0.0,0,-21901920000.0,-21901920000.0,1,2.0,2,1,1.0549212640000002e+16,1.0549212640000002e+16,9,540287843400000.0,540287843400000.0,9,3.0,3,9
a24830,8,5,1.3333333333333333,0.0,0.0,0,6109240900000.0,6109240900000.0,3,2.0,2,3,0.0,0.0,0,3424502200000.0,3424502200000.0,3,2.0,2,3
a02365,553,17,30.72222222222222,0.0,0.0,0,1654647257110000.0,1654647257110000.0,3,2.0,2,3,0.0,0.0,0,248528025600000.0,248528025600000.0,2,2.0,2,2
a22570,16,3,4.0,0.0,0.0,0,25342827440000.0,25342827440000.0,1,2.0,2,1,14456950000000.0,14456950000000.0,5,13957081690000.0,13957081690000.0,5,3.0,3,5
a18475,6,6,0.8571428571428571,1.321495338e+16,1.321495338e+16,9,32549668267200.797,32549668267200.797,9,3.0,3,9,0.0,0.0,0,9963184881585.1,9963184881585.1,2,2.0,2,2
a20077,1,1,0.5,0.0,0.0,0,155000000000.0,155000000000.0,1,2.0,2,1,0.0,0.0,0,183199450000.0,183199450000.0,1,2.0,2,1
a08985,5,2,1.6666666666666667,0.0,0.0,0,1545169999892.48,1545169999892.48,3,2.0,2,3,0.0,0.0,0,1097101999892.48,1097101999892.48,1,2.0,2,1
a03411,3,1,1.5,0.0,0.0,0,-17646960000.0,-17646960000.0,2,2.0,2,2,2984000000.0,2984000000.0,1,14984000000.0,14984000000.0,1,3.0,3,1
a02931,1,1,0.5,4473313419600000.0,4473313419600000.0,3,1485652499999.85,1485652499999.85,3,3.0,3,3,0.0,0.0,0,496666500000.0,496666500000.0,1,2.0,2,1
a17697,2,4,0.4,0.0,0.0,0,189600393900000.0,189600393900000.0,2,2.0,2,2,0.0,0.0,0,122086087865237.31,122086087865237.31,3,2.0,2,3
a07511,253,2,84.33333333333333,0.0,0.0,0,2488166256733497.5,2488166256733497.5,3,2.0,2,3,0.0,0.0,0,39954850000000.0,39954850000000.0,2,2.0,2,2
a28038,0,17,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,72416910650819.4,72416910650819.4,3,2.0,2,3
a04400,8,6,1.1428571428571428,0.0,0.0,0,12128860364665.35,12128860364665.35,3,2.0,2,3,170494828799644.22,170494828799644.22,7,66231085800000.0,66231085800000.0,7,3.0,3,7
a00335,8,5,1.3333333333333333,0.0,0.0,0,57681371800000.0,57681371800000.0,3,2.0,2,3,0.0,0.0,0,45518402807314.82,45518402807314.82,2,2.0,2,2
a24000,73,381,0.1910994764397905,5.606593845e+16,5.606593845e+16,9,288637042214064.0,288637042214064.0,9,3.0,3,9,0.0,0.0,0,5941098552467.121,5941098552467.121,3,2.0,2,3
a18594,0,4343,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,-180000000000.0,-180000000000.0,3,2.0,2,3
a22910,3,1,1.5,0.0,0.0,0,77276823000.0,77276823000.0,3,2.0,2,3,0.0,0.0,0,180330000000.0,180330000000.0,1,2.0,2,1
a26754,2,1,1.0,0.0,0.0,0,-44328050000.0,-44328050000.0,2,2.0,2,2,0.0,0.0,0,24700000000.0,24700000000.0,1,2.0,2,1
a19474,1,77,0.0128205128205128,0.0,0.0,0,403787819400000.0,403787819400000.0,1,2.0,2,1,0.0,0.0,0,26992860000000.0,26992860000000.0,3,2.0,2,3
a22430,0,21,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,21395331000000.0,21395331000000.0,3,2.0,2,3
a11060,9,8,1.0,0.0,0.0,0,-18000000000.0,-18000000000.0,1,2.0,2,1,0.0,0.0,0,59593180000000.0,59593180000000.0,3,2.0,2,3
a12335,39,7,4.875,0.0,0.0,0,50800309200000.0,50800309200000.0,3,2.0,2,3,0.0,0.0,0,31159770000000.0,31159770000000.0,3,2.0,2,3
a20262,19,16,1.1176470588235294,0.0,0.0,0,167530786900000.0,167530786900000.0,2,2.0,2,2,0.0,0.0,0,256787317650000.0,256787317650000.0,3,2.0,2,3
a21838,34,2,11.333333333333334,0.0,0.0,0,-32680000000.0,-32680000000.0,3,2.0,2,3,0.0,0.0,0,70340000000.0,70340000000.0,2,2.0,2,2
a24301,3,1,1.5,0.0,0.0,0,-136752800612.78,-136752800612.78,3,2.0,2,3,0.0,0.0,0,144670000000.0,144670000000.0,1,2.0,2,1
a04252,3,2,1.0,0.0,0.0,0,509902499999999.94,509902499999999.94,3,2.0,2,3,0.0,0.0,0,509979000000000.0,509979000000000.0,2,2.0,2,2
a07701,5,6,0.7142857142857143,0.0,0.0,0,2441026447600.0,2441026447600.0,3,2.0,2,3,0.0,0.0,0,994170000000.0,994170000000.0,3,2.0,2,3
a14637,2,1,1.0,0.0,0.0,0,-88000000000.0,-88000000000.0,1,2.0,2,1,0.0,0.0,0,78760000000.0,78760000000.0,1,2.0,2,1
a17261,11,5,1.8333333333333333,0.0,0.0,0,-116000000000.0,-116000000000.0,3,2.0,2,3,0.0,0.0,0,118240000000.0,118240000000.0,3,2.0,2,3
a14953,0,5,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,19894115429031.105,19894115429031.105,3,2.0,2,3
a03338,1,1,0.5,0.0,0.0,0,2998740000000.0,2998740000000.0,1,2.0,2,1,0.0,0.0,0,2999370000000.0,2999370000000.0,1,2.0,2,1
a27584,3,102,0.029126213592233,0.0,0.0,0,-1948210000.0,-1948210000.0,2,2.0,2,2,0.0,0.0,0,49999349000000.0,49999349000000.0,1,2.0,2,1
a22276,4,7,0.5,0.0,0.0,0,156612604420000.0,156612604420000.0,3,2.0,2,3,0.0,0.0,0,99975800000000.0,99975800000000.0,1,2.0,2,1
a29585,28,28,0.9655172413793104,1.5205662129e+16,1.5205662129e+16,9,307880053800000.0,307880053800000.0,9,3.0,3,9,0.0,0.0,0,102622851100000.0,102622851100000.0,3,2.0,2,3
a08963,109,10,9.909090909090908,0.0,0.0,0,3304325545050.0,3304325545050.0,3,2.0,2,3,0.0,0.0,0,3881793100000.0,3881793100000.0,1,2.0,2,1
a00034,93,12,7.153846153846154,0.0,0.0,0,562461199693.61,562461199693.61,2,2.0,2,2,3.317661924214e+16,3.317661924214e+16,9,5437443000000.0,5437443000000.0,9,3.0,3,9
a01315,124,8,13.77777777777778,5667236652130.0,5667236652130.0,2,189950565998418.7,189950565998418.7,4,2.5,3,4,0.0,0.0,0,145972082599663.16,145972082599663.16,3,2.0,2,3
a08017,4,7,0.5,0.0,0.0,0,-23190000729.5,-23190000729.5,3,2.0,2,3,0.0,0.0,0,-25018759606.4,-25018759606.4,3,2.0,2,3
a13885,0,3,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,2291988540000.0,2291988540000.0,3,2.0,2,3
a01964,46,14,3.066666666666667,0.0,0.0,0,97935749740.65,97935749740.65,2,2.0,2,2,0.0,0.0,0,667627300000.0,667627300000.0,3,2.0,2,3
a26455,293,21,13.318181818181818,0.0,0.0,0,70752250000000.0,70752250000000.0,3,2.0,2,3,-2520000000.0,-2520000000.0,3,78727719990000.0,78727719990000.0,3,3.0,3,3
a06217,91,38,2.3333333333333335,-83236080000.0,-83236080000.0,2,272732996000000.0,272732996000000.0,4,2.5,3,4,1.0219070911452736e+18,1.0219070911452736e+18,5,380864047990000.0,380864047990000.0,5,3.0,3,5
a20827,8,13,0.5714285714285714,0.0,0.0,0,1417667300000.0,1417667300000.0,3,2.0,2,3,0.0,0.0,0,18110979000000.0,18110979000000.0,2,2.0,2,2
a01903,25,5,4.166666666666667,0.0,0.0,0,10007544040000.0,10007544040000.0,3,2.0,2,3,-31500000000.0,-31500000000.0,2,2223358200000.0,2223358200000.0,4,2.5,3,4
a27666,0,2,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,1.74113744786e+16,1.74113744786e+16,6,1644480000000.0,1644480000000.0,6,3.0,3,6
a16669,1,1,0.5,-1882750000000.0,-1882750000000.0,3,899836200000000.0,899836200000000.0,3,3.0,3,3,899943678000000.0,899943678000000.0,3,1345928905061311.0,1345928905061311.0,3,3.0,3,3
a00681,13,2,4.333333333333333,0.0,0.0,0,-1148284800000.0,-1148284800000.0,3,2.0,2,3,0.0,0.0,0,840320000000.0,840320000000.0,2,2.0,2,2
a17889,2,1,1.0,0.0,0.0,0,895076500000.0,895076500000.0,2,2.0,2,2,0.0,0.0,0,339580000000.0,339580000000.0,1,2.0,2,1
a16290,17,8,1.8888888888888888,0.0,0.0,0,14992027380000.0,14992027380000.0,2,2.0,2,2,1.0171237675640918e+18,1.0171237675640918e+18,9,35864272316558.7,35864272316558.7,9,3.0,3,9
a18728,19,8,2.111111111111111,0.0,0.0,0,9998740000000.0,9998740000000.0,2,2.0,2,2,72648899734350.75,72648899734350.75,8,10907349998249.2,10907349998249.2,8,3.0,3,8
a08893,1,1,0.5,4.1247517907e+16,4.1247517907e+16,3,37007234100000.0,37007234100000.0,3,3.0,3,3,0.0,0.0,0,12421994700000.0,12421994700000.0,1,2.0,2,1
a09915,22,48,0.4489795918367347,13874954857985.355,13874954857985.355,3,85243438946952.73,85243438946952.73,3,3.0,3,3,77363033655818.31,77363033655818.31,4,82154778298810.53,82154778298810.53,4,3.0,3,4
a17265,0,5,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,2369696100000.0,2369696100000.0,1,2.0,2,1
a11508,16,4,3.2,0.0,0.0,0,-303588386332.134,-303588386332.134,3,2.0,2,3,0.0,0.0,0,484044000000.0,484044000000.0,3,2.0,2,3
a01106,6,6,0.8571428571428571,3379652810000000.0,3379652810000000.0,5,173357733710000.0,173357733710000.0,5,3.0,3,5,0.0,0.0,0,64250833712602.21,64250833712602.21,3,2.0,2,3
a14084,2,1,1.0,0.0,0.0,0,9975304000000.0,9975304000000.0,2,2.0,2,2,0.0,0.0,0,9998320000000.0,9998320000000.0,1,2.0,2,1
a29748,5,6,0.7142857142857143,2611145594160000.0,2611145594160000.0,9,308040524715951.4,308040524715951.4,9,3.0,3,9,3.6566268670589704e+16,3.6566268670589704e+16,9,243672395700000.0,243672395700000.0,9,3.0,3,9
a18062,1,2,0.3333333333333333,0.0,0.0,0,11022510115652.018,11022510115652.018,1,2.0,2,1,0.0,0.0,0,11025900115544.498,11025900115544.498,2,2.0,2,2
