account,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a04138,0.0,0.0,0,99979202099999.98,99979202099999.98,5,847712217999160.0,847712217999160.0,25,1165964354490520.0,1165964354490520.0,25
a17964,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,3857257333864.731,3857257333864.731,5
a21788,0.0,0.0,0,199651153500000.0,199651153500000.0,2,0.0,0.0,0,199674883500000.0,199674883500000.0,1
a11877,0.0,0.0,0,755178500000.0,755178500000.0,1,0.0,0.0,0,778133600000.0,778133600000.0,3
a00495,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,599291744600000.0,599291744600000.0,5
a00431,0.0,0.0,0,2124147500000.0,2124147500000.0,1,0.0,0.0,0,2136327500000.0,2136327500000.0,1
a16241,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1
a27199,0.0,0.0,0,2448512337828.096,2448512337828.096,1,0.0,0.0,0,2498845000000.0,2498845000000.0,1
a12446,0.0,0.0,0,21021363575206.0,21021363575206.0,1,386738480763772.75,386738480763772.75,11,61155853575206.01,61155853575206.01,12
a16793,0.0,0.0,0,317677500000.0,317677500000.0,1,598885739396947.4,598885739396947.4,5,1665311500000.0,1665311500000.0,5
a23766,0.0,0.0,0,15847140000.0,15847140000.0,5,0.0,0.0,0,198740000000.0,198740000000.0,1
a07691,0.0,0.0,0,46465936999693.61,46465936999693.61,3,0.0,0.0,0,46601793900000.0,46601793900000.0,2
a10212,199470000000.0,199470000000.0,5,242473450000.0,242473450000.0,6,285172758000.0,285172758000.0,6,199470000000.0,199470000000.0,6
a06373,0.0,0.0,0,344982898894355.44,344982898894355.44,5,0.0,0.0,0,310999468699951.06,310999468699951.06,1
a14357,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,34936516997665.85,34936516997665.85,5
a29906,0.0,0.0,0,129572996920637.7,129572996920637.7,1,0.0,0.0,0,70364365920637.695,70364365920637.695,5
a28574,74602720780000.0,74602720780000.0,5,20409807967626.56,20409807967626.56,5,0.0,0.0,0,2652030600000.0,2652030600000.0,5
a02993,211330800000000.0,211330800000000.0,15,62554106595787.39,62554106595787.39,17,0.0,0.0,0,12490947680000.0,12490947680000.0,5
a16879,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5
a07103,0.0,0.0,0,20689000000000.0,20689000000000.0,5,169542443599831.97,169542443599831.97,5,24163800000000.0,24163800000000.0,5
a28840,0.0,0.0,0,3066585590000.0,3066585590000.0,5,9722915249103.51,9722915249103.51,9,25138112219456.94,25138112219456.94,11
a10559,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,55680000000.0,55680000000.0,5
a08649,0.0,0.0,0,0.0,0.0,5,86754884452000.0,86754884452000.0,18,2304325389768.7812,2304325389768.7812,18
a28133,98936160000.0,98936160000.0,5,40206500000.0,40206500000.0,6,0.0,0.0,0,15612800000.0,15612800000.0,1
a08312,0.0,0.0,0,34634367300000.0,34634367300000.0,2,0.0,0.0,0,20331022900000.0,20331022900000.0,5
a05631,169764205035260.47,169764205035260.47,25,1047492035853602.8,1047492035853602.8,25,5098253800000.0,5098253800000.0,5,270437515570721.84,270437515570721.84,9
a27381,0.0,0.0,0,21435326400000.0,21435326400000.0,3,3405367200000.0,3405367200000.0,5,62064890400000.0,62064890400000.0,7
a26973,508020000000.0,508020000000.0,11,484080000000.0,484080000000.0,12,4473240000000.0,4473240000000.0,16,31049204361243.316,31049204361243.316,16
a31444,1.43997e+16,1.43997e+16,25,427815316865902.5,427815316865902.5,25,0.0,0.0,0,75740648489513.03,75740648489513.03,5
a21533,74602720780000.0,74602720780000.0,5,529445324000000.0,529445324000000.0,9,0.0,0.0,0,1.08459584062e+16,1.08459584062e+16,5
a03372,0.0,0.0,0,395694517530000.0,395694517530000.0,4,0.0,0.0,0,266954370000000.0,266954370000000.0,3
a27162,347710000000.0,347710000000.0,5,179393900000.0,179393900000.0,6,233391120000.0,233391120000.0,5,321550000000.0,321550000000.0,5
a04574,0.0,0.0,0,60798380800000.0,60798380800000.0,1,0.0,0.0,0,25272952900000.0,25272952900000.0,5
a04855,309877814000000.0,309877814000000.0,25,66598887000000.0,66598887000000.0,25,0.0,0.0,0,6243323163240.617,6243323163240.617,5
a06271,0.0,0.0,0,66220000000.0,66220000000.0,5,0.0,0.0,0,6955969140000.081,6955969140000.081,5
a17733,2786244344560000.0,2786244344560000.0,25,15281565929215.207,15281565929215.207,25,0.0,0.0,0,3076570050000.0,3076570050000.0,5
a26919,0.0,0.0,0,49955310000000.0,49955310000000.0,5,0.0,0.0,2,51567887308200.0,51567887308200.0,5
a01452,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5
a10598,0.0,0.0,0,365745768294521.6,365745768294521.6,3,0.0,0.0,0,6543194790000.0,6543194790000.0,5
a02676,0.0,0.0,0,37560440176365.36,37560440176365.36,5,692066142500000.0,692066142500000.0,5,206570922499693.8,206570922499693.8,7
a04806,0.0,0.0,0,0.0,0.0,0,738564856326522.4,738564856326522.4,10,129104109819876.52,129104109819876.52,13
a26759,0.0,0.0,0,0.0,0.0,4,0.0,0.0,0,78613999951.07,78613999951.07,1
a16188,0.0,0.0,0,11706652000000.0,11706652000000.0,1,0.0,0.0,0,11722402000000.0,11722402000000.0,2
a01641,1491842296809751.8,1491842296809751.8,10,4742689009147.5,4742689009147.5,10,0.0,0.0,0,959790000000.0,959790000000.0,1
a21140,0.0,0.0,0,475000000000.0,475000000000.0,5,60096239773957.484,60096239773957.484,6,6319544949178.79,6319544949178.79,9
a25098,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5
a27556,110999286000000.0,110999286000000.0,2,17990759999902.14,17990759999902.14,6,64958757147636.14,64958757147636.14,5,571995550100000.0,571995550100000.0,9
a19157,0.0,0.0,0,0.0,0.0,4,0.0,0.0,0,191600000000.0,191600000000.0,1
a22146,0.0,0.0,0,9997900000000.0,9997900000000.0,1,0.0,0.0,0,10000000000000.0,10000000000000.0,1
a02162,1189290000000.0,1189290000000.0,15,1381773418976500.0,1381773418976500.0,17,3893924672285598.5,3893924672285598.5,25,1748461500000000.0,1748461500000000.0,25
a21035,0.0,0.0,0,56760100000000.0,56760100000000.0,2,0.0,0.0,0,2981769650988.2217,2981769650988.2217,5
a28424,0.0,0.0,0,43276288600000.0,43276288600000.0,1,2250000000000.0,2250000000000.0,1,28291828600000.0,28291828600000.0,5
a31108,0.0,0.0,0,188660000000.0,188660000000.0,5,0.0,0.0,0,0.0,0.0,0
a01589,2.63884685e+16,2.63884685e+16,10,1.0560155e+16,1.0560155e+16,10,1.0560155e+16,1.0560155e+16,10,2.639145989e+16,2.639145989e+16,11
a11023,0.0,0.0,0,1009881500000000.0,1009881500000000.0,4,0.0,0.0,0,1009979000000000.0,1009979000000000.0,2
a23562,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,216420069000.0,216420069000.0,5
a13747,0.0,0.0,0,100115237700000.0,100115237700000.0,5,0.0,0.0,0,100137230000000.0,100137230000000.0,5
a29600,0.0,0.0,0,23166396907141.344,23166396907141.344,5,0.0,0.0,0,5002173521022.971,5002173521022.971,5
a20135,0.0,0.0,0,109855136476766.78,109855136476766.78,1,3492160042391.5327,3492160042391.5327,5,11844814176766.79,11844814176766.79,9
a29920,0.0,0.0,0,1009928900000000.0,1009928900000000.0,4,0.0,0.0,0,1009987400000000.0,1009987400000000.0,2
a16772,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,26384799063.04,26384799063.04,4
a23765,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,64295364633125.0,64295364633125.0,5
a23870,0.0,0.0,0,1009961000000000.0,1009961000000000.0,3,0.0,0.0,0,1009991600000000.0,1009991600000000.0,2
a16193,996978260000.0,996978260000.0,8,1334270000000.0,1334270000000.0,9,4966326757572318.0,4966326757572318.0,10,245756592930000.0,245756592930000.0,13
a24435,0.0,0.0,1,0.0,0.0,4,9765666946800000.0,9765666946800000.0,5,18661289317133.86,18661289317133.86,9
a21943,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,9507894900000.0,9507894900000.0,5
a20771,0.0,0.0,0,0.0,0.0,5,2.38827628e+16,2.38827628e+16,20,23153500000.0,23153500000.0,21
a05708,533064327806806.0,533064327806806.0,5,243639500000.0,243639500000.0,5,0.0,0.0,0,164687900000.0,164687900000.0,1
a07245,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0
a25393,10071351438752.615,10071351438752.615,2,12965043453612.516,12965043453612.516,5,4427520000000.0,4427520000000.0,2,20487803993295.13,20487803993295.13,6
a04062,0.0,0.0,0,62763490300000.0,62763490300000.0,1,0.0,0.0,0,62731990300000.0,62731990300000.0,2
a21244,0.0,0.0,0,1683404877416.096,1683404877416.096,1,0.0,0.0,0,1696999099853.21,1696999099853.21,4
a27584,1098787780000.0,1098787780000.0,2,199580000000.0,199580000000.0,4,0.0,0.0,0,5092541338177.479,5092541338177.479,5
a20478,0.0,0.0,0,0.0,0.0,5,1619560000000.0,1619560000000.0,2,69523474935.488,69523474935.488,5
a11667,95000000000.0,95000000000.0,1,312500000000.0,312500000000.0,5,418648472395625.0,418648472395625.0,6,2185886000000.0,2185886000000.0,7
a18375,0.0,0.0,0,0.0,0.0,3,0.0,0.0,0,537285000000.0,537285000000.0,5
a17231,0.0,0.0,0,13883603435208.11,13883603435208.11,5,0.0,0.0,0,2498436347665.754,2498436347665.754,5
a20162,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0
a02975,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,3900000000.0,3900000000.0,1
a21587,0.0,0.0,0,0.0,0.0,1,2869277250000.0,2869277250000.0,5,35800000000.0,35800000000.0,5
a04348,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,6000000000.0,6000000000.0,3
a13709,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1620350000000.0,1620350000000.0,5
a11101,0.0,0.0,0,16158153200000.0,16158153200000.0,1,45706000000000.0,45706000000000.0,5,35051670700000.0,35051670700000.0,8
a22827,27460234500000.0,27460234500000.0,25,15201625000000.0,15201625000000.0,25,10259970000000.0,10259970000000.0,25,5.499998136006147e+17,5.499998136006147e+17,25
a06990,0.0,0.0,0,9103121724.10744,9103121724.10744,3,0.0,0.0,0,12456081724.10744,12456081724.10744,2
a24597,2526366211000000.0,2526366211000000.0,25,1134151800000000.0,1134151800000000.0,25,0.0,0.0,0,226895360000000.1,226895360000000.1,5
a08197,4809471501000000.0,4809471501000000.0,5,358784970496890.25,358784970496890.25,5,37640514500000.0,37640514500000.0,3,358770992971997.5,358770992971997.5,5
a02149,1011000000000.0,1011000000000.0,3,8274330388756.961,8274330388756.961,7,11659773479717.99,11659773479717.99,6,8566947772710.601,8566947772710.601,9
a05714,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1999633258000000.0,1999633258000000.0,5
a02549,76807526799540.31,76807526799540.31,10,87847906131375.03,87847906131375.03,13,0.0,0.0,0,28381733403825.305,28381733403825.305,5
a06680,0.0,0.0,0,497984000000.0,497984000000.0,5,0.0,0.0,0,3040280549434.26,3040280549434.26,2
a21281,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,37832835800000.0,37832835800000.0,4
a02499,0.0,0.0,0,502221005000000.0,502221005000000.0,3,0.0,0.0,0,71324254571004.77,71324254571004.77,5
a21827,206931000000.0,206931000000.0,10,111188599500.0,111188599500.0,13,9530089562210.338,9530089562210.338,20,460855900000.0,460855900000.0,21
a00989,0.0,0.0,0,0.0,0.0,5,1177096360000000.0,1177096360000000.0,12,1.029298656e+17,1.029298656e+17,13
a20104,0.0,0.0,0,0.0,0.0,0,31114647840.588,31114647840.588,1,98831552008524.12,98831552008524.12,5
a05757,1092486115499457.0,1092486115499457.0,15,363921501000000.0,363921501000000.0,15,434392074327881.44,434392074327881.44,12,293276629800000.0,293276629800000.0,12
a30117,569559120000.0,569559120000.0,2,64005740000.0,64005740000.0,6,537072870000.0,537072870000.0,9,7073171880000.0,7073171880000.0,10
a24081,70995590000000.0,70995590000000.0,3,5315692298945.17,5315692298945.17,7,76537043563664.9,76537043563664.9,15,356336642999403.8,356336642999403.8,17
a18009,0.0,0.0,0,105089526900000.02,105089526900000.02,5,0.0,0.0,0,10032406980406.1,10032406980406.1,5
a22940,0.0,0.0,0,94585924913166.16,94585924913166.16,5,0.0,0.0,14,279642059400000.0,279642059400000.0,9
a06679,149579950000000.0,149579950000000.0,5,121488297410000.0,121488297410000.0,8,633818501926613.1,633818501926613.1,10,114694708400000.0,114694708400000.0,12
a02356,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,161778360000.0,161778360000.0,5
a21117,347710000000.0,347710000000.0,5,108460000000.0,108460000000.0,5,233391120000.0,233391120000.0,5,330220000000.0,330220000000.0,5
a00360,1344043749842.842,1344043749842.842,2,1193014125948.3386,1193014125948.3386,3,102368247966.28458,102368247966.28458,2,1344043749842.842,1344043749842.842,2
a08486,2642664675400000.0,2642664675400000.0,15,424056118000000.0,424056118000000.0,17,0.0,0.0,0,52142052000000.0,52142052000000.0,5
a07063,2508035919208.9966,2508035919208.9966,15,25761650500000.0,25761650500000.0,17,6519702946139.331,6519702946139.331,10,9575210200000.0,9575210200000.0,13
a17785,0.0,0.0,0,2320000000000.0,2320000000000.0,5,7798740000000.0,7798740000000.0,6,23780775400000.0,23780775400000.0,8
a27457,0.0,0.0,0,500353400000000.0,500353400000000.0,2,0.0,0.0,0,500419760000000.0,500419760000000.0,1
a15607,9999747990000.0,9999747990000.0,1,80325517989693.62,80325517989693.62,5,584824805926613.0,584824805926613.0,5,332445430806634.2,332445430806634.2,9
a06640,0.0,0.0,0,18900000000.0,18900000000.0,1,0.0,0.0,0,0.0,0.0,0
a06038,0.0,0.0,0,165339380000000.0,165339380000000.0,5,584824805926613.0,584824805926613.0,6,202662224140059.6,202662224140059.6,9
a08639,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,1089000000000.0,1089000000000.0,3
a04644,0.0,0.0,0,7745456182641.66,7745456182641.66,5,522126817016775.06,522126817016775.06,15,310579721000000.0,310579721000000.0,17
a04043,119989920000000.0,119989920000000.0,2,127735847360741.38,127735847360741.38,6,1.0940722829653226e+16,1.0940722829653226e+16,20,432539000000000.0,432539000000000.0,20
a09300,1526585000000.0,1526585000000.0,5,8894623010527.654,8894623010527.654,5,325639789094121.8,325639789094121.8,15,40840716652638.27,40840716652638.27,17
a24405,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4703625145884.057,4703625145884.057,5
a12816,0.0,0.0,0,1009869350000000.0,1009869350000000.0,3,0.0,0.0,0,1009971860000000.0,1009971860000000.0,2
a05633,106675381281423.6,106675381281423.6,20,26735412000000.0,26735412000000.0,21,0.0,0.0,0,6051582400000.0,6051582400000.0,5
a28606,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2553057880000.0,2553057880000.0,5
a10826,5250750990000000.0,5250750990000000.0,5,373001480000.0,373001480000.0,5,0.0,0.0,0,79783092549.1,79783092549.1,1
a02217,0.0,0.0,0,143713750000.0,143713750000.0,3,0.0,0.0,0,147900000000.0,147900000000.0,2
a06716,0.0,0.0,0,22391390000000.0,22391390000000.0,1,0.0,0.0,0,22450980200000.0,22450980200000.0,3
a02697,272955966500000.0,272955966500000.0,25,5636542092524.111,5636542092524.111,25,0.0,0.0,0,1237136450847.957,1237136450847.957,5
a07699,17140590000000.0,17140590000000.0,1,152568089180000.0,152568089180000.0,5,1.0216182610399832e+16,1.0216182610399832e+16,14,1111769457800000.0,1111769457800000.0,15
a26405,0.0,0.0,0,13584030000.0,13584030000.0,2,0.0,0.0,0,16110000000.0,16110000000.0,1
a13232,110082367221964.2,110082367221964.2,2,110577950000000.0,110577950000000.0,3,991180000000.0,991180000000.0,2,110082367221964.2,110082367221964.2,2
a20313,21286617341918.0,21286617341918.0,25,226163930381308.72,226163930381308.72,25,2439009065975.55,2439009065975.55,2,6584479700000.0,6584479700000.0,6
a14509,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0
a00983,9635645000000.0,9635645000000.0,5,1008799000000.0,1008799000000.0,5,0.0,0.0,0,203439800000.0,203439800000.0,1
a14683,1820810192499095.2,1820810192499095.2,25,711783018250000.0,711783018250000.0,25,294104215320000.0,294104215320000.0,6,161730379650000.0,161730379650000.0,9
a16627,0.0,0.0,0,41453380000000.0,41453380000000.0,4,0.0,0.0,0,13098803700000.0,13098803700000.0,5
a02342,298410883120000.0,298410883120000.0,20,133243642500000.0,133243642500000.0,20,0.0,0.0,0,2791823700000.0,2791823700000.0,5
a26464,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,5
a23703,85942670000000.0,85942670000000.0,5,1527399967000000.0,1527399967000000.0,9,2521424669085020.5,2521424669085020.5,24,7188009349999999.0,7188009349999999.0,24
a20329,0.0,0.0,0,0.0,0.0,0,32521999997670.0,32521999997670.0,3,26192178555089.027,26192178555089.027,7
a27627,0.0,0.0,0,39278473400000.0,39278473400000.0,5,1777550060479232.8,1777550060479232.8,25,524902607500000.0,524902607500000.0,25
a29426,0.0,0.0,0,490000000000.0,490000000000.0,5,696169089355700.0,696169089355700.0,20,690075492000000.0,690075492000000.0,21
a21930,0.0,0.0,0,3623168376784.64,3623168376784.64,5,497625121035129.7,497625121035129.7,6,10464174500000.0,10464174500000.0,9
a27380,0.0,0.0,0,0.0,0.0,0,23176363117353.363,23176363117353.363,25,271569471000000.0,271569471000000.0,25
a29783,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,38837337674912.2,38837337674912.2,5
a08143,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,18564000000.0,18564000000.0,5
a04911,0.0,0.0,0,21190013937118.113,21190013937118.113,5,0.0,0.0,0,20713002075672.0,20713002075672.0,4
a22518,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0,32230000000.0,32230000000.0,2
a23966,74602720780000.0,74602720780000.0,5,49094137000000.0,49094137000000.0,7,0.0,0.0,0,9976900000000.0,9976900000000.0,1
a19297,0.0,0.0,0,499999160000000.0,499999160000000.0,5,568435603599832.0,568435603599832.0,11,611676199040000.0,611676199040000.0,13
a20831,0.0,0.0,0,1009967870000000.0,1009967870000000.0,2,0.0,0.0,0,1009991180000000.0,1009991180000000.0,2
