account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a04043,119989920000000.0,119989920000000.0,2,0.0,0.0,0,0.0,0.0,0,119989920000000.0,119989920000000.0,2,127735847360741.38,127735847360741.38,6,1.0681890861467624e+16,1.0681890861467624e+16,14,56792272785599.68,56792272785599.68,2,0.0,0.0,0,1.0940722829653226e+16,1.0940722829653226e+16,20,432539000000000.0,432539000000000.0,20
a09300,0.0,0.0,0,1526585000000.0,1526585000000.0,5,0.0,0.0,0,1526585000000.0,1526585000000.0,5,8894623010527.654,8894623010527.654,5,319965249800000.0,319965249800000.0,10,5674539294121.84,5674539294121.84,5,0.0,0.0,0,325639789094121.8,325639789094121.8,15,40840716652638.27,40840716652638.27,17
a07699,0.0,0.0,0,17140590000000.0,17140590000000.0,1,0.0,0.0,0,17140590000000.0,17140590000000.0,1,152568089180000.0,152568089180000.0,5,9907571070399872.0,9907571070399872.0,9,270432379999958.0,270432379999958.0,4,0.0,0.0,0,1.0216182610399832e+16,1.0216182610399832e+16,14,1111769457800000.0,1111769457800000.0,15
a13232,110082367221964.2,110082367221964.2,2,0.0,0.0,0,0.0,0.0,0,110082367221964.2,110082367221964.2,2,110577950000000.0,110577950000000.0,3,991180000000.0,991180000000.0,2,0.0,0.0,0,0.0,0.0,0,991180000000.0,991180000000.0,2,110082367221964.2,110082367221964.2,2
a20313,20864194341918.0,20864194341918.0,15,0.0,0.0,0,422423000000.0,422423000000.0,10,21286617341918.0,21286617341918.0,25,226163930381308.72,226163930381308.72,25,0.0,0.0,0,466830965975.55,466830965975.55,1,0.0,0.0,0,2439009065975.55,2439009065975.55,2,6584479700000.0,6584479700000.0,6
a14683,1802176802999095.2,1802176802999095.2,15,0.0,0.0,0,0.0,0.0,0,1820810192499095.2,1820810192499095.2,25,711783018250000.0,711783018250000.0,25,274620666000000.0,274620666000000.0,4,19483549320000.0,19483549320000.0,1,0.0,0.0,0,294104215320000.0,294104215320000.0,6,161730379650000.0,161730379650000.0,9
a23703,85942670000000.0,85942670000000.0,5,0.0,0.0,0,0.0,0.0,0,85942670000000.0,85942670000000.0,5,1527399967000000.0,1527399967000000.0,9,1121616318865101.8,1121616318865101.8,14,374529200000000.1,374529200000000.1,6,0.0,0.0,0,2521424669085020.5,2521424669085020.5,24,7188009349999999.0,7188009349999999.0,24
a18801,592020000000.0,592020000000.0,1,0.0,0.0,0,0.0,0.0,0,592020000000.0,592020000000.0,1,1164720000000.0,1164720000000.0,1,1164720000000.0,1164720000000.0,1,2998152000000.0,2998152000000.0,1,0.0,0.0,0,4162872000000.0,4162872000000.0,2,1752960000000.0,1752960000000.0,3
a04923,694177882299694.0,694177882299694.0,12,6325220858599764.0,6325220858599764.0,7,39975430000000.0,39975430000000.0,1,7355561443998845.0,7355561443998845.0,25,38704740681353.12,38704740681353.12,25,1300584320000.0,1300584320000.0,6,0.0,0.0,0,0.0,0.0,0,1620371955961.2517,1620371955961.2517,10,9384700194297.014,9384700194297.014,13
a30128,0.0,0.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,37557565249506.11,37557565249506.11,8,23816964670000.0,23816964670000.0,11,97612515280000.0,97612515280000.0,6,0.0,0.0,0,333547238860000.0,333547238860000.0,24,115604867600000.0,115604867600000.0,22
a19642,18755604000000.0,18755604000000.0,2,0.0,0.0,0,35506181200000.0,35506181200000.0,2,104787254000000.0,104787254000000.0,10,9641345800000.0,9641345800000.0,13,0.0,0.0,0,53356957000000.0,53356957000000.0,8,0.0,0.0,0,53453573384135.52,53453573384135.52,10,13467999991540.0,13467999991540.0,10
a10832,414064836500000.0,414064836500000.0,25,0.0,0.0,0,0.0,0.0,0,414064836500000.0,414064836500000.0,25,297798126000000.0,297798126000000.0,25,178113805803380.84,178113805803380.84,9,0.0,0.0,0,0.0,0.0,0,252500991355716.62,252500991355716.62,15,284157967074093.94,284157967074093.94,17
a09480,1448590115247145.5,1448590115247145.5,25,0.0,0.0,0,0.0,0.0,0,1448590115247145.5,1448590115247145.5,25,58203482500000.0,58203482500000.0,25,534030000000.0,534030000000.0,1,0.0,0.0,0,0.0,0.0,0,534030000000.0,534030000000.0,1,3385509500000.0,3385509500000.0,5
a24190,0.0,0.0,0,0.0,0.0,0,229472311767.642,229472311767.642,4,229472311767.642,229472311767.642,4,1199818700000000.0,1199818700000000.0,8,0.0,0.0,0,81100000000.0,81100000000.0,1,1045248885696.7988,1045248885696.7988,2,1695486821446.912,1695486821446.912,6,7656588483310.727,7656588483310.727,5
a30619,0.0,0.0,0,71989500000000.0,71989500000000.0,1,0.0,0.0,0,368980050000000.06,368980050000000.06,2,76442232038453.62,76442232038453.62,5,46615099900000.0,46615099900000.0,4,3251703250528.8105,3251703250528.8105,4,0.0,0.0,0,49866803150528.81,49866803150528.81,9,225529484400000.0,225529484400000.0,11
a11149,0.0,0.0,0,6054982990000000.0,6054982990000000.0,4,0.0,0.0,0,6054982990000000.0,6054982990000000.0,4,129849000000000.0,129849000000000.0,8,0.0,0.0,0,239806400774400.0,239806400774400.0,8,0.0,0.0,0,239806400774400.0,239806400774400.0,8,1.211296157e+16,1.211296157e+16,9
a05156,0.0,0.0,0,5250750990000000.0,5250750990000000.0,5,0.0,0.0,0,5250750990000000.0,5250750990000000.0,5,43463980000.0,43463980000.0,5,3274906499264.832,3274906499264.832,3,991180000000.0,991180000000.0,1,0.0,0.0,0,4564322499264.832,4564322499264.832,5,0.0,0.0,5
a08224,100000000000.0,100000000000.0,1,89500000000.0,89500000000.0,1,0.0,0.0,0,413611996954.4,413611996954.4,5,1402113998468.0498,1402113998468.0498,6,2530422799693.61,2530422799693.61,2,0.0,0.0,0,0.0,0.0,0,2878902199693.61,2878902199693.61,5,500000000000.0,500000000000.0,5
a07615,0.0,0.0,0,9998320000000.0,9998320000000.0,1,0.0,0.0,0,16502907000000.0,16502907000000.0,3,101293000000000.0,101293000000000.0,7,0.0,0.0,0,81747000000000.0,81747000000000.0,3,0.0,0.0,0,437225000000000.0,437225000000000.0,5,89231466177690.0,89231466177690.0,9
a07554,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,199096434000000.0,199096434000000.0,9,1.95761482581e+16,1.95761482581e+16,13,656836639700000.0,656836639700000.0,6,0.0,0.0,0,2.02342265755991e+16,2.02342265755991e+16,20,278901074000000.0,278901074000000.0,21
a28823,133805481000000.0,133805481000000.0,9,47179205400000.0,47179205400000.0,3,0.0,0.0,0,223808162340000.0,223808162340000.0,15,187671318750000.0,187671318750000.0,17,181617322600000.0,181617322600000.0,2,0.0,0.0,0,0.0,0.0,0,181617322600000.0,181617322600000.0,2,19911275958369.312,19911275958369.312,6
a00481,0.0,0.0,14,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,0.0,0.0,9,0.0,0.0,12,0.0,0.0,0,0.0,0.0,0,0.0,0.0,12,892755000000.0,892755000000.0,6
a08990,0.0,0.0,0,327645400000000.0,327645400000000.0,4,0.0,0.0,0,327645400000000.0,327645400000000.0,4,525840260000000.0,525840260000000.0,7,456441269533813.25,456441269533813.25,3,2157838804992800.0,2157838804992800.0,11,0.0,0.0,0,2797327300596613.0,2797327300596613.0,16,1003284573098478.4,1003284573098478.4,17
a28685,0.0,0.0,0,3997480000000.0,3997480000000.0,8,157419570000000.0,157419570000000.0,30,161417050000000.0,161417050000000.0,38,11994960000000.0,11994960000000.0,4,0.0,0.0,0,0.0,0.0,4,34888660000000.0,34888660000000.0,6,34888660000000.0,34888660000000.0,10,19999160000000.0,19999160000000.0,1
a17622,0.0,0.0,0,0.0,0.0,0,0.0,0.0,6,0.0,0.0,6,1664256200000.0,1664256200000.0,8,5804762850000.0,5804762850000.0,9,13181038800000.0,13181038800000.0,3,0.0,0.0,5,20308620600000.0,20308620600000.0,20,6542997600000.0,6542997600000.0,18
a05904,436712142769.05664,436712142769.05664,1,0.0,0.0,0,0.0,0.0,0,436712142769.05664,436712142769.05664,1,2291879282721.5605,2291879282721.5605,5,458308715876655.75,458308715876655.75,4,28396136392799.84,28396136392799.84,1,0.0,0.0,0,586692252269455.6,586692252269455.6,6,17090045921769.057,17090045921769.057,9
a14039,0.0,0.0,0,22630000000000.0,22630000000000.0,2,0.0,0.0,0,22630000000000.0,22630000000000.0,2,86642360000000.0,86642360000000.0,6,0.0,0.0,0,395590000000.0,395590000000.0,1,0.0,0.0,0,395590000000.0,395590000000.0,1,76926765684603.1,76926765684603.1,5
a05678,0.0,0.0,0,0.0,0.0,0,159259999387.22,159259999387.22,2,159259999387.22,159259999387.22,2,159259999387.22,159259999387.22,5,0.0,0.0,0,924820836915.5768,924820836915.5768,2,0.0,0.0,0,924820836915.5768,924820836915.5768,2,336162303524.85,336162303524.85,6
a05420,18559600000000.0,18559600000000.0,16,0.0,0.0,0,0.0,0.0,0,869296960000000.0,869296960000000.0,20,101908980334674.8,101908980334674.8,21,14825266043430.186,14825266043430.186,2,9249520400000.0,9249520400000.0,1,0.0,0.0,0,48918982443430.19,48918982443430.19,5,46364621620000.0,46364621620000.0,9
