account,profit_category
a18375,loss_or_zero
a17231,loss_or_zero
a20162,loss_or_zero
a02975,loss_or_zero
a21587,very_high_profit
a04348,loss_or_zero
a13709,loss_or_zero
a11101,very_high_profit
a22827,very_high_profit
a06990,loss_or_zero
a24597,very_high_profit
a08197,very_high_profit
a02149,very_high_profit
a05714,loss_or_zero
a02549,very_high_profit
a06680,loss_or_zero
a21281,loss_or_zero
a02499,loss_or_zero
a21827,very_high_profit
a00989,very_high_profit
a20104,very_high_profit
a05757,very_high_profit
a30117,very_high_profit
a24081,very_high_profit
a18009,loss_or_zero
a22940,loss_or_zero
a06679,very_high_profit
a02356,loss_or_zero
a21117,very_high_profit
a00360,very_high_profit
a08486,very_high_profit
a07063,very_high_profit
a17785,very_high_profit
a27457,loss_or_zero
a15607,very_high_profit
a06640,loss_or_zero
a06038,very_high_profit
a08639,loss_or_zero
a04644,very_high_profit
a04043,very_high_profit
a09300,very_high_profit
a24405,loss_or_zero
a12816,loss_or_zero
a05633,very_high_profit
a28606,loss_or_zero
a10826,very_high_profit
a02217,loss_or_zero
a06716,loss_or_zero
a02697,very_high_profit
a07699,very_high_profit
a26405,loss_or_zero
a13232,very_high_profit
a20313,very_high_profit
a14509,loss_or_zero
a00983,very_high_profit
a14683,very_high_profit
a16627,loss_or_zero
a02342,very_high_profit
a26464,loss_or_zero
a23703,very_high_profit
a20329,very_high_profit
a27627,very_high_profit
a29426,very_high_profit
a21930,very_high_profit
a27380,very_high_profit
a29783,loss_or_zero
a08143,loss_or_zero
a04911,loss_or_zero
a22518,loss_or_zero
a23966,very_high_profit
a19297,very_high_profit
a20831,loss_or_zero
a20496,very_high_profit
a12854,very_high_profit
a18801,very_high_profit
a27834,very_high_profit
a18786,loss_or_zero
a08896,very_high_profit
a04923,very_high_profit
a28739,loss_or_zero
a20667,very_high_profit
a20508,loss_or_zero
a18499,very_high_profit
a10173,loss_or_zero
a25246,loss_or_zero
a01121,loss_or_zero
a16305,loss_or_zero
a09849,loss_or_zero
a30128,very_high_profit
a19642,very_high_profit
a24634,loss_or_zero
a19209,loss_or_zero
a30685,loss_or_zero
a07964,loss_or_zero
a03028,very_high_profit
a22249,loss_or_zero
a08769,loss_or_zero
a00183,loss_or_zero
a16433,loss_or_zero
a07178,loss_or_zero
a12116,loss_or_zero
a10832,very_high_profit
a26184,loss_or_zero
a18297,loss_or_zero
a25813,very_high_profit
a06518,loss_or_zero
a17795,very_high_profit
a09480,very_high_profit
a24559,loss_or_zero
a03359,loss_or_zero
a24190,very_high_profit
a28689,loss_or_zero
a25147,loss_or_zero
a16810,very_high_profit
a09035,loss_or_zero
a11389,very_high_profit
a21024,loss_or_zero
a02431,loss_or_zero
a03325,loss_or_zero
a17333,very_high_profit
a30619,very_high_profit
a18572,loss_or_zero
a11149,very_high_profit
a05909,loss_or_zero
a09362,very_high_profit
a07207,very_high_profit
a05156,very_high_profit
a14935,loss_or_zero
a07199,loss_or_zero
a24254,loss_or_zero
a02501,loss_or_zero
a06594,loss_or_zero
a10844,loss_or_zero
a11339,loss_or_zero
a30627,loss_or_zero
a26017,very_high_profit
a22608,loss_or_zero
a15655,loss_or_zero
a12432,loss_or_zero
a12969,loss_or_zero
a08698,loss_or_zero
a15433,loss_or_zero
a00158,loss_or_zero
a21745,very_high_profit
a22327,loss_or_zero
a25026,very_high_profit
a03893,loss_or_zero
a12749,very_high_profit
a25060,very_high_profit
a03249,loss_or_zero
a11637,loss_or_zero
a27086,very_high_profit
a21870,very_high_profit
a18913,loss_or_zero
a06371,loss_or_zero
a08224,very_high_profit
a25862,loss_or_zero
a04813,very_high_profit
a30670,very_high_profit
a22636,loss_or_zero
a07615,very_high_profit
a09454,loss_or_zero
a09550,loss_or_zero
a01206,very_high_profit
a11093,very_high_profit
a29120,loss_or_zero
a06694,very_high_profit
a30753,loss_or_zero
a08782,loss_or_zero
a07554,very_high_profit
a03168,loss_or_zero
a06969,very_high_profit
a00548,loss_or_zero
a22098,very_high_profit
a01407,very_high_profit
a19254,loss_or_zero
a12774,very_high_profit
a22428,loss_or_zero
a23479,very_high_profit
