filename,threshold,inverse,TP,TN,FP,FN,pred_bad,pred_good,bad_precision,bad_recall,good_precision,good_recall,bad_f1_given,bad_f1_calculated,accuracy,f1_diff
vote_5_1_REAL_F1_0.03087818696883853.csv,5,1,109,607,6224,618,6333,1225,0.017211432180641088,0.1499312242090784,0.49551020408163265,0.08885961059874103,0.0308781869688385,0.03087818696883853,0.09473405662873777,2.7755575615628914e-17
vote_6_0_REAL_F1_0.6439433665443104.csv,6,0,614,6265,566,113,1180,6378,0.5203389830508475,0.844566712517194,0.982282847287551,0.9171424388815693,0.6439433665443104,0.6439433665443104,0.9101614183646467,0.0
vote_6_1_REAL_F1_0.03180858550316678.csv,6,1,113,566,6265,614,6378,1180,0.017717152712449044,0.15543328748280605,0.47966101694915253,0.08285756111843068,0.0318085855031667,0.03180858550316678,0.08983858163535327,7.632783294297951e-17
vote_7_0_REAL_F1_0.652127659574468.csv,7,0,613,6291,540,114,1153,6405,0.5316565481352992,0.8431911966987621,0.9822014051522249,0.9209486166007905,0.652127659574468,0.652127659574468,0.9134691717385551,0.0
vote_7_1_REAL_F1_0.03196859226023556.csv,7,1,114,540,6291,613,6405,1153,0.017798594847775177,0.15680880330123798,0.4683434518647008,0.07905138339920949,0.0319685922602355,0.03196859226023556,0.08653082826144483,6.245004513516506e-17
vote_8_0_REAL_F1_0.6554712892741061.csv,8,0,605,6317,514,122,1119,6439,0.5406613047363718,0.8321870701513068,0.9810529585339338,0.9247547943200117,0.6554712892741061,0.6554712892741061,0.9158507541677693,0.0
vote_8_1_REAL_F1_0.03404967903991069.csv,8,1,122,514,6317,605,6439,1119,0.01894704146606616,0.16781292984869325,0.45933869526362825,0.07524520567998828,0.0340496790399106,0.03404967903991069,0.08414924583223075,9.020562075079397e-17
vote_9_0_REAL_F1_0.6629955947136564.csv,9,0,602,6344,487,125,1089,6469,0.5528007346189164,0.828060522696011,0.9806770752821147,0.9287073634899722,0.6629955947136564,0.6629955947136564,0.9190261974067213,0.0
vote_9_1_REAL_F1_0.03474152306837132.csv,9,1,125,487,6344,602,6469,1089,0.019322924717885298,0.171939477303989,0.44719926538108357,0.07129263651002782,0.0347415230683713,0.03474152306837132,0.08097380259327865,2.0816681711721685e-17
vote_10_0_REAL_F1_0.667779632721202.csv,10,0,600,6361,470,127,1070,6488,0.5607476635514018,0.8253094910591472,0.9804254007398274,0.9311960181525399,0.667779632721202,0.667779632721202,0.9210108494310664,0.0
