account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a26713,211920000000.0,211920000000.0,2,0.0,0.0,0,0.0,0.0,0,211920000000.0,211920000000.0,2,3650500000000.0,3650500000000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2668780000000.0,2668780000000.0,5
a30036,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,58700000000.0,58700000000.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,84880000000.0,84880000000.0,1
a24177,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,225030000000.0,225030000000.0,3,0.0,0.0,0,0.0,0.0,0,225030000000.0,225030000000.0,3,651630000000.0,651630000000.0,5
a09621,39159999999.79,39159999999.79,1,0.0,0.0,0,0.0,0.0,0,39159999999.79,39159999999.79,1,7020219100000.0,7020219100000.0,4,27939100000.0,27939100000.0,1,0.0,0.0,0,0.0,0.0,0,27939100000.0,27939100000.0,1,7036059999999.79,7036059999999.79,2
a15214,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,86824507397601.52,86824507397601.52,5,1837916698067.5,1837916698067.5,5,0.0,0.0,0,0.0,0.0,0,7338516748067.5,7338516748067.5,20,354278353998774.44,354278353998774.44,20
a13533,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,41975401586000.0,41975401586000.0,5,25647690000000.0,25647690000000.0,2,4997690000000.0,4997690000000.0,1,0.0,0.0,0,30645380000000.0,30645380000000.0,3,30967003200000.0,30967003200000.0,7
a17276,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,20797312900000.0,20797312900000.0,5,0.0,0.0,0,0.0,0.0,0,20797312900000.0,20797312900000.0,6,1296504508670000.0,1296504508670000.0,6
a13098,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,3439986459989.157,3439986459989.157,2,0.0,0.0,0,3439986459989.157,3439986459989.157,2,1418465373108.7776,1418465373108.7776,5
a00350,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,20832738000000.0,20832738000000.0,5,0.0,0.0,0,100697340440126.0,100697340440126.0,5,0.0,0.0,0,100697340440126.0,100697340440126.0,5,42053244256134.0,42053244256134.0,7
a03475,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,861884241874387.6,861884241874387.6,4,0.0,0.0,0,1286956930700000.0,1286956930700000.0,1,0.0,0.0,0,1286956930700000.0,1286956930700000.0,1,5889621115000000.0,5889621115000000.0,5
a15788,1994000000000.0,1994000000000.0,1,0.0,0.0,0,0.0,0.0,0,1994000000000.0,1994000000000.0,1,1188950000000.0,1188950000000.0,5,999475000000.0,999475000000.0,1,0.0,0.0,0,0.0,0.0,0,999475000000.0,999475000000.0,1,1994000000000.0,1994000000000.0,1
a21388,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a13080,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,57736283500000.0,57736283500000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,11522056700000.0,11522056700000.0,2
a16107,20573429000000.0,20573429000000.0,1,0.0,0.0,0,0.0,0.0,0,20573429000000.0,20573429000000.0,1,12404110000000.0,12404110000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2491157166247.4253,2491157166247.4253,5
a23357,229982031473329.8,229982031473329.8,2,0.0,0.0,0,0.0,0.0,0,229982031473329.8,229982031473329.8,2,325870701694542.7,325870701694542.7,5,199989808419220.12,199989808419220.12,1,204987179500000.0,204987179500000.0,2,0.0,0.0,0,404976987919220.1,404976987919220.1,3,875560530438763.4,875560530438763.4,7
a26845,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,1,221364760000.0,221364760000.0,3,0.0,0.0,0,221364760000.0,221364760000.0,1,0.0,0.0,0,221364760000.0,221364760000.0,1,0.0,0.0,1
a15994,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,450450100000.0,450450100000.0,1,0.0,0.0,3,0.0,0.0,1,0.0,0.0,0,0.0,0.0,5,2365933101255.9,2365933101255.9,5
a22770,3230061800000.0,3230061800000.0,2,3712033000000.0,3712033000000.0,2,0.0,0.0,0,6942094800000.0,6942094800000.0,4,5176899587759.52,5176899587759.52,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4795600000000.0,4795600000000.0,5
a29845,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,924257812.5,924257812.5,5,0.0,0.0,0,20259200000000.0,20259200000000.0,4,0.0,0.0,0,21500877799098.406,21500877799098.406,5,4427000000000.0,4427000000000.0,5
a23483,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1722339999693.61,1722339999693.61,5,30787208046906.0,30787208046906.0,3,11595639916000.0,11595639916000.0,1,0.0,0.0,0,53547537172799.0,53547537172799.0,5,10976502466856.523,10976502466856.523,6
a29837,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7980491600000.0,7980491600000.0,5,726143500000.0,726143500000.0,5,0.0,0.0,0,0.0,0.0,0,726143500000.0,726143500000.0,5,5988720000000.0,5988720000000.0,5
a27592,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3498126060000.0,3498126060000.0,5,80671499999.99988,80671499999.99988,5,0.0,0.0,0,0.0,0.0,0,80671499999.99988,80671499999.99988,5,1797422100000.0,1797422100000.0,9
a21889,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,2990339999740.6504,2990339999740.6504,1,0.0,0.0,0,0.0,0.0,0,2990339999740.6504,2990339999740.6504,1,37903869685709.336,37903869685709.336,5
a30591,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5949612832959.334,5949612832959.334,3,17529508184737.78,17529508184737.78,3,148520971894535.7,148520971894535.7,2,0.0,0.0,0,166050480079273.47,166050480079273.47,5,5966000000000.0,5966000000000.0,6
a07993,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,773967600000.0,773967600000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,192360000000.0,192360000000.0,1
a00885,0.0,0.0,0,522382101494.33514,522382101494.33514,2,0.0,0.0,0,522382101494.33514,522382101494.33514,2,2016631227000.0,2016631227000.0,5,0.0,0.0,0,1205090000000.0,1205090000000.0,2,0.0,0.0,0,1205090000000.0,1205090000000.0,2,2612356701209.155,2612356701209.155,4
a06832,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,65704600000.0,65704600000.0,1,0.0,0.0,0,16581137500000.0,16581137500000.0,1,0.0,0.0,0,16581137500000.0,16581137500000.0,1,92164600000.0,92164600000.0,1
a07472,82820489500000.0,82820489500000.0,1,7418739600000.0,7418739600000.0,2,0.0,0.0,0,3563658848700000.0,3563658848700000.0,5,676113650000.0,676113650000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,144485400000.0,144485400000.0,1
a27929,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,7429412700000.0,7429412700000.0,5,29312711500000.0,29312711500000.0,5,0.0,0.0,0,0.0,0.0,0,29312711500000.0,29312711500000.0,5,9347779500000.0,9347779500000.0,9
a22916,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,848404000000.0,848404000000.0,1,45096381440000.0,45096381440000.0,3,0.0,0.0,0,0.0,0.0,0,3045045141440000.0,3045045141440000.0,5,4115000000000.0,4115000000000.0,5
a15194,0.0,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,81867109558495.81,81867109558495.81,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,16366076111699.164,16366076111699.164,1
a30350,105457778000000.0,105457778000000.0,2,6488937100000.0,6488937100000.0,2,0.0,0.0,0,112061786100000.0,112061786100000.0,5,2790287278232.1,2790287278232.1,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,575203200000.0,575203200000.0,2
a28087,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,52228750000.0,52228750000.0,3,28774800000000.0,28774800000000.0,2,0.0,0.0,0,0.0,0.0,0,32687696344520.93,32687696344520.93,10,306556250000.0,306556250000.0,10
a22197,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3022174425000.0,3022174425000.0,4,0.0,0.0,0,1754321000000.0,1754321000000.0,1,0.0,0.0,0,1754321000000.0,1754321000000.0,1,3038870000000.0,3038870000000.0,2
a15755,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,2611457440671.144,2611457440671.144,4,2611457440671.144,2611457440671.144,4,372605826112.07776,372605826112.07776,4
a00573,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,239390800000.0,239390800000.0,5,98236000000.0,98236000000.0,1,0.0,0.0,0,0.0,0.0,0,98236000000.0,98236000000.0,1,1084456000000.0,1084456000000.0,2
a20075,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,86597170000.0,86597170000.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,95590000000.0,95590000000.0,1
a02884,0.0,0.0,0,0.0,0.0,0,485341719577799.94,485341719577799.94,1,485341719577799.94,485341719577799.94,1,33015790000000.0,33015790000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,38619868470000.0,38619868470000.0,5
a19230,182149999693.61,182149999693.61,1,0.0,0.0,0,0.0,0.0,0,182149999693.61,182149999693.61,1,460842856312623.9,460842856312623.9,2,164089999434.26,164089999434.26,1,0.0,0.0,0,0.0,0.0,0,164089999434.26,164089999434.26,1,460879606313142.6,460879606313142.6,2
a23630,0.0,0.0,3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,28648803540401.156,28648803540401.156,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5773650708080.23,5773650708080.23,1
a27244,1615030900000.0,1615030900000.0,1,1856016500000.0,1856016500000.0,1,0.0,0.0,0,3471047400000.0,3471047400000.0,2,117823674469658.77,117823674469658.77,6,2537988229447.3804,2537988229447.3804,1,0.0,0.0,0,0.0,0.0,0,598885739396947.4,598885739396947.4,5,554919869823999.2,554919869823999.2,9
a01334,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,290000000000.0,290000000000.0,5,799370000000.0,799370000000.0,1,0.0,0.0,0,0.0,0.0,0,799370000000.0,799370000000.0,1,8397879000000.0,8397879000000.0,5
a16890,11045700000000.0,11045700000000.0,2,146176050000000.0,146176050000000.0,3,0.0,0.0,0,157221750000000.0,157221750000000.0,5,2837000000000.0,2837000000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,578362000000.0,578362000000.0,2
a16967,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,456441269533813.25,456441269533813.25,3,28396136392799.84,28396136392799.84,1,0.0,0.0,0,584824805926613.0,584824805926613.0,5,5243545500000.0,5243545500000.0,8
a19220,99982360000000.0,99982360000000.0,1,439988240000000.0,439988240000000.0,1,0.0,0.0,0,626877025399740.6,626877025399740.6,5,142546808121.65002,142546808121.65002,5,650292160000.0,650292160000.0,3,0.0,0.0,0,0.0,0.0,0,810185977980.6259,810185977980.6259,5,242225730476.9,242225730476.9,5
a14531,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,456441269533813.25,456441269533813.25,3,28596333092799.84,28596333092799.84,2,0.0,0.0,0,585025002626613.0,585025002626613.0,6,27331135700000.0,27331135700000.0,9
a03642,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4358341802653805.5,4358341802653805.5,5,4.424275956585817e+16,4.424275956585817e+16,5,0.0,0.0,0,0.0,0.0,0,4.424275956585817e+16,4.424275956585817e+16,5,36649320189757.2,36649320189757.2,5
a06319,20706101100000.0,20706101100000.0,3,2472700000000.0,2472700000000.0,1,0.0,0.0,0,35260121100000.0,35260121100000.0,5,1968018362643.0627,1968018362643.0627,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1632144632528.6123,1632144632528.6123,5
a05036,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,227091843999326.3,227091843999326.3,5,0.0,0.0,0,0.0,0.0,0,227091843999326.3,227091843999326.3,5,9098500000000.0,9098500000000.0,5
a21736,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,878328199930000.0,878328199930000.0,5,6076759524030.878,6076759524030.878,5,0.0,0.0,0,0.0,0.0,0,6076759524030.878,6076759524030.878,5,283126824099295.6,283126824099295.6,9
a07441,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,40848340000000.0,40848340000000.0,5,1174170000000.0,1174170000000.0,3,0.0,0.0,0,0.0,0.0,0,1174170000000.0,1174170000000.0,3,41785918900000.0,41785918900000.0,5
a05795,24634185100000.0,24634185100000.0,5,0.0,0.0,0,0.0,0.0,0,24634185100000.0,24634185100000.0,5,6645326000000.0,6645326000000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1348865200000.0,1348865200000.0,1
a15986,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,0.0,0.0,3,1012497999080.83,1012497999080.83,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,146985597000000.0,146985597000000.0,5
a21724,82820489500000.0,82820489500000.0,1,7418739600000.0,7418739600000.0,2,0.0,0.0,0,3563658848700000.0,3563658848700000.0,5,670110000000.0,670110000000.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,144750000000.0,144750000000.0,1
a25933,37957377200000.0,37957377200000.0,1,3893688000000.0,3893688000000.0,1,11283222720000.0,11283222720000.0,1,557248868912000.0,557248868912000.0,5,240497486381730.62,240497486381730.62,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,48091560556346.13,48091560556346.13,1
